Filename	Label	seg_Start	seg_End	H1H2c_mean	H1H2c_means001	H1H2c_means002	H1H2c_means003	H1H2c_means004	H1H2c_means005	H1H2c_means006	H1H2c_means007	H1H2c_means008	H1H2c_means009	H1H2c_means010	H1H2c_means011	H1H2c_means012	H1H2c_means013	H1H2c_means014	H1H2c_means015	H1H2c_means016	H1H2c_means017	H1H2c_means018	H1H2c_means019	H1H2c_means020	H1A1c_mean	H1A1c_means001	H1A1c_means002	H1A1c_means003	H1A1c_means004	H1A1c_means005	H1A1c_means006	H1A1c_means007	H1A1c_means008	H1A1c_means009	H1A1c_means010	H1A1c_means011	H1A1c_means012	H1A1c_means013	H1A1c_means014	H1A1c_means015	H1A1c_means016	H1A1c_means017	H1A1c_means018	H1A1c_means019	H1A1c_means020	H1A3c_mean	H1A3c_means001	H1A3c_means002	H1A3c_means003	H1A3c_means004	H1A3c_means005	H1A3c_means006	H1A3c_means007	H1A3c_means008	H1A3c_means009	H1A3c_means010	H1A3c_means011	H1A3c_means012	H1A3c_means013	H1A3c_means014	H1A3c_means015	H1A3c_means016	H1A3c_means017	H1A3c_means018	H1A3c_means019	H1A3c_means020	CPP_mean	CPP_means001	CPP_means002	CPP_means003	CPP_means004	CPP_means005	CPP_means006	CPP_means007	CPP_means008	CPP_means009	CPP_means010	CPP_means011	CPP_means012	CPP_means013	CPP_means014	CPP_means015	CPP_means016	CPP_means017	CPP_means018	CPP_means019	CPP_means020	strF0_mean	strF0_means001	strF0_means002	strF0_means003	strF0_means004	strF0_means005	strF0_means006	strF0_means007	strF0_means008	strF0_means009	strF0_means010	strF0_means011	strF0_means012	strF0_means013	strF0_means014	strF0_means015	strF0_means016	strF0_means017	strF0_means018	strF0_means019	strF0_means020	sF0_mean	sF0_means001	sF0_means002	sF0_means003	sF0_means004	sF0_means005	sF0_means006	sF0_means007	sF0_means008	sF0_means009	sF0_means010	sF0_means011	sF0_means012	sF0_means013	sF0_means014	sF0_means015	sF0_means016	sF0_means017	sF0_means018	sF0_means019	sF0_means020	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF0_means011	pF0_means012	pF0_means013	pF0_means014	pF0_means015	pF0_means016	pF0_means017	pF0_means018	pF0_means019	pF0_means020	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF1_means011	pF1_means012	pF1_means013	pF1_means014	pF1_means015	pF1_means016	pF1_means017	pF1_means018	pF1_means019	pF1_means020	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF2_means011	pF2_means012	pF2_means013	pF2_means014	pF2_means015	pF2_means016	pF2_means017	pF2_means018	pF2_means019	pF2_means020	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	pF3_means011	pF3_means012	pF3_means013	pF3_means014	pF3_means015	pF3_means016	pF3_means017	pF3_means018	pF3_means019	pF3_means020	
taq_900_110_30_10_1.00_10.mat	"v"	62.000	262.000	1.305	1.305	1.305	-0.499	-0.367	-0.195	0.123	0.512	0.819	1.041	1.302	1.588	1.775	1.816	1.787	1.820	1.841	2.028	2.613	3.663	3.663	25.854	25.854	25.854	20.981	21.990	23.254	24.604	25.748	26.426	27.135	28.113	29.025	29.183	28.172	26.839	26.115	25.767	25.271	24.508	24.626	24.626	18.621	18.621	18.621	20.433	20.356	19.872	19.338	19.095	19.081	18.936	19.061	19.246	19.296	18.780	17.224	16.402	16.639	16.883	17.637	18.931	18.931	25.576	25.576	25.576	24.415	24.547	23.804	22.985	22.588	22.508	23.082	23.937	23.617	23.843	26.547	29.493	30.766	31.106	31.022	27.496	22.554	22.554	129.417	110.536	113.767	116.526	118.995	121.489	123.985	126.470	128.950	131.436	133.970	136.822	139.512	140.911	141.809	142.707	143.592	142.794	128.209	123.550	123.649	116.595	114.235	116.198	117.602	119.429	121.943	124.439	126.944	129.560	132.219	134.777	137.368	139.602	141.041	142.000	142.898	143.732	143.922	52.321	0.000	54.263	129.750	112.547	113.636	115.558	117.108	118.773	121.261	123.756	126.109	128.711	131.460	133.956	136.573	139.025	140.680	141.721	142.628	143.504	143.913	143.857	74.486	809.034	757.823	760.188	774.632	783.840	784.143	780.626	782.604	792.584	803.137	814.856	823.387	822.796	825.128	828.662	832.568	835.705	838.739	845.387	868.683	826.915	1474.829	1659.608	1520.896	1487.563	1488.565	1469.247	1463.655	1472.222	1464.207	1437.735	1437.111	1452.112	1465.985	1469.091	1466.833	1465.059	1463.418	1462.836	1467.227	1445.977	1426.645	2664.186	2679.649	2679.079	2691.027	2700.373	2680.179	2667.820	2651.847	2642.114	2620.691	2623.157	2612.403	2630.395	2658.216	2672.948	2685.414	2693.291	2696.928	2685.241	2652.557	2658.251	
taq_900_110_40_10_1.00_10.mat	"v"	62.000	262.000	2.060	2.060	2.060	1.844	1.935	1.932	1.955	2.013	2.019	1.959	1.906	1.922	1.921	1.847	1.787	1.821	1.841	2.028	2.612	3.663	3.663	26.179	26.179	26.179	23.857	24.149	24.472	24.864	25.397	25.945	26.380	27.673	29.852	30.106	28.326	26.832	26.115	25.768	25.273	24.510	24.627	24.627	20.832	20.832	20.832	23.220	23.826	24.208	23.845	23.291	23.776	24.143	23.368	21.966	20.588	19.015	17.169	16.401	16.642	16.880	17.630	18.925	18.925	25.352	25.352	25.352	23.401	23.850	23.307	23.099	22.918	22.968	23.311	23.310	22.749	23.126	26.074	29.374	30.741	31.063	30.969	27.462	22.523	22.523	129.396	111.365	113.747	116.361	118.811	121.307	123.813	126.312	128.805	131.305	133.859	136.771	139.513	140.911	141.809	142.707	143.593	142.794	128.209	123.550	123.649	116.554	113.974	116.045	117.563	119.401	121.830	124.372	126.975	129.522	132.087	134.729	137.404	139.623	141.040	142.001	142.898	143.733	143.923	52.322	0.000	54.266	129.688	112.019	113.272	115.443	117.035	118.814	121.154	123.599	126.155	128.776	131.335	133.856	136.599	139.064	140.679	141.721	142.628	143.504	143.914	143.859	74.487	824.672	775.950	774.911	789.136	804.188	818.503	830.792	838.408	839.921	838.008	834.012	828.248	822.767	824.986	828.557	832.467	835.759	838.735	845.412	868.685	827.063	1461.683	1707.843	1490.501	1470.504	1479.249	1463.004	1427.660	1396.799	1385.907	1397.929	1419.919	1445.473	1465.345	1468.949	1466.733	1464.945	1463.476	1462.869	1467.444	1446.398	1426.730	2648.818	2681.840	2642.940	2624.039	2628.143	2644.637	2649.009	2630.037	2615.260	2611.443	2605.775	2605.008	2630.446	2657.832	2672.779	2684.924	2693.491	2696.904	2685.454	2653.037	2658.570	
taq_900_110_50_10_1.00_10.mat	"v"	62.000	262.000	2.956	2.956	2.956	4.778	4.782	4.483	4.138	3.829	3.425	2.935	2.532	2.278	2.083	1.897	1.794	1.820	1.841	2.028	2.613	3.664	3.664	26.197	26.197	26.197	26.894	26.535	26.129	25.600	25.168	25.023	25.294	26.140	28.026	29.307	28.303	26.814	26.115	25.767	25.269	24.504	24.623	24.623	21.133	21.133	21.133	22.840	23.454	23.657	24.547	25.112	24.918	24.999	23.991	22.526	21.092	19.012	17.121	16.407	16.644	16.882	17.626	18.915	18.915	25.624	25.624	25.624	23.176	24.672	24.429	23.583	23.071	23.134	23.441	23.550	23.264	23.639	26.265	29.410	30.732	31.105	31.068	27.536	22.620	22.620	129.411	112.134	113.828	116.286	118.717	121.233	123.746	126.254	128.746	131.233	133.781	136.728	139.514	140.911	141.808	142.707	143.593	142.794	128.209	123.550	123.649	116.459	113.744	115.801	117.498	119.562	121.877	124.182	126.492	128.955	131.719	134.632	137.469	139.650	141.040	142.001	142.898	143.733	143.922	52.322	0.000	54.264	129.556	111.363	112.963	115.178	116.908	118.908	121.233	123.510	125.760	128.199	130.888	133.690	136.649	139.112	140.680	141.721	142.629	143.504	143.913	143.858	74.486	821.722	761.378	744.131	761.092	786.638	805.244	822.093	837.426	849.542	858.229	852.443	833.564	822.898	825.071	828.561	832.485	835.767	838.767	845.447	868.694	827.012	1468.159	1703.694	1497.221	1453.417	1446.544	1422.428	1443.102	1471.485	1478.317	1445.489	1416.102	1439.468	1464.701	1469.110	1466.861	1464.964	1463.349	1462.869	1467.439	1446.313	1426.693	2657.146	2724.789	2638.136	2637.492	2644.938	2629.098	2659.632	2654.326	2647.046	2652.472	2612.544	2601.311	2630.782	2658.023	2672.771	2684.651	2693.067	2697.115	2685.775	2652.879	2657.796	
taq_900_110_60_10_1.00_10.mat	"v"	62.000	262.000	3.968	3.968	3.968	8.139	8.002	7.447	6.672	5.846	4.953	4.020	3.218	2.658	2.244	1.940	1.801	1.821	1.841	2.028	2.613	3.663	3.663	28.130	28.130	28.130	30.065	32.080	32.931	31.935	30.834	28.920	26.925	26.660	28.016	29.099	28.187	26.782	26.115	25.773	25.274	24.507	24.625	24.625	21.256	21.256	21.256	26.622	26.966	26.073	25.190	24.485	23.765	23.512	23.126	21.656	19.788	18.438	17.070	16.376	16.625	16.876	17.629	18.918	18.918	25.758	25.758	25.758	24.090	25.150	24.577	24.135	23.641	22.972	22.674	23.166	23.781	24.233	26.391	29.367	30.721	31.101	31.074	27.564	22.611	22.611	129.384	112.837	113.704	116.136	118.500	121.026	123.539	126.126	128.644	131.166	133.720	136.700	139.516	140.909	141.812	142.706	143.591	142.795	128.209	123.551	123.650	116.397	113.349	115.283	116.925	119.171	121.845	124.572	127.005	129.089	131.453	134.479	137.539	139.674	141.038	141.999	142.899	143.733	143.923	52.322	0.000	54.264	129.509	112.209	112.657	114.661	116.313	118.417	121.093	123.796	126.227	128.462	130.687	133.468	136.694	139.153	140.678	141.718	142.629	143.505	143.914	143.859	74.487	813.737	767.715	750.497	763.413	768.162	758.650	767.333	799.246	828.370	852.060	858.956	837.347	823.092	825.147	828.571	832.486	835.736	838.742	845.445	868.709	827.170	1465.298	1705.761	1511.767	1434.574	1418.256	1435.123	1439.296	1421.220	1458.210	1474.526	1430.055	1433.323	1463.966	1469.088	1466.762	1464.967	1463.354	1462.823	1467.383	1446.472	1427.081	2653.485	2728.042	2641.339	2628.520	2638.612	2638.918	2633.849	2618.221	2638.503	2635.775	2623.585	2602.342	2629.527	2658.604	2672.959	2685.059	2693.245	2696.883	2685.751	2653.136	2659.177	
taq_900_110_70_10_1.00_10.mat	"v"	62.000	262.000	4.648	4.648	4.648	4.648	11.094	10.326	9.166	7.852	6.486	5.149	3.967	3.053	2.406	1.988	1.808	1.822	1.841	2.027	2.613	3.663	3.663	27.936	27.936	27.936	27.936	29.954	29.902	30.080	30.509	30.519	29.685	28.291	28.216	28.865	28.036	26.766	26.125	25.776	25.266	24.499	24.620	24.620	20.622	20.622	20.622	20.622	23.047	23.819	23.978	24.511	23.966	23.464	23.959	22.339	19.555	18.255	17.012	16.283	16.604	16.884	17.638	18.930	18.930	23.643	23.643	23.643	23.643	16.435	17.758	19.082	20.063	20.190	20.260	20.722	21.502	22.957	25.946	29.301	30.808	31.089	31.010	27.562	22.572	22.572	129.319	112.329	113.917	116.113	118.386	120.909	123.458	125.872	128.349	131.094	133.631	136.727	139.551	140.909	141.800	142.704	143.590	142.795	128.210	123.551	123.650	114.730	71.803	115.112	117.222	118.963	120.932	123.401	126.749	129.414	131.476	134.255	137.597	139.728	141.046	142.002	142.898	143.733	143.922	65.385	0.000	54.266	130.116	130.116	112.369	114.135	116.520	118.440	120.300	122.569	125.614	128.731	130.857	133.251	136.662	139.221	140.692	141.725	142.628	143.504	143.913	143.857	74.486	817.904	807.273	766.329	765.149	791.511	800.043	793.537	773.855	794.108	837.340	860.694	844.713	823.947	823.533	828.029	832.542	835.799	838.761	845.449	868.674	826.945	1470.555	1729.031	1532.879	1435.193	1449.501	1475.307	1441.118	1439.893	1430.056	1458.653	1441.610	1435.193	1463.001	1468.881	1466.446	1465.069	1463.457	1462.818	1467.360	1446.313	1426.634	2660.369	2709.164	2689.286	2656.676	2623.175	2649.375	2650.446	2641.854	2650.711	2630.295	2635.992	2625.540	2634.635	2658.162	2673.037	2685.358	2693.474	2697.340	2685.530	2652.754	2658.477	
taq_900_118_30_10_1.00_10.mat	"v"	62.000	262.000	1.010	1.010	1.010	-0.520	-0.413	-0.270	0.020	0.397	0.708	0.945	1.258	1.541	1.746	1.831	1.771	1.734	1.742	1.746	1.462	1.462	1.462	25.210	25.210	25.210	21.370	21.918	22.233	22.547	23.095	23.939	25.089	26.546	27.994	28.707	28.124	26.879	26.065	25.695	25.851	26.105	26.105	26.105	19.965	19.965	19.965	21.781	23.427	24.331	23.523	22.027	20.801	19.932	19.677	19.662	19.595	18.823	17.254	16.428	16.713	17.656	18.180	18.180	18.180	26.700	26.700	26.700	22.774	24.256	24.977	25.222	25.402	25.713	26.005	26.407	26.001	25.019	26.531	29.705	31.140	31.194	29.943	25.434	25.434	25.434	132.590	117.648	119.763	121.949	123.855	125.605	127.342	129.073	130.818	132.557	134.367	136.841	139.534	140.900	141.816	142.699	143.599	142.719	135.712	132.899	132.899	111.031	120.349	121.746	122.828	124.262	125.984	127.735	129.496	131.346	133.146	135.019	137.371	139.617	141.044	141.995	142.892	143.530	65.116	0.000	0.000	38.994	132.085	118.806	119.909	121.334	122.516	123.827	125.459	127.135	128.961	130.804	132.604	134.437	136.621	138.991	140.689	141.719	142.621	143.464	143.327	143.327	143.327	809.489	768.152	772.505	780.333	779.006	775.012	775.057	781.416	789.486	798.014	811.899	823.099	822.582	824.924	828.807	832.381	836.084	839.200	851.984	843.129	856.077	1480.043	1664.572	1520.748	1470.128	1469.793	1482.836	1492.851	1488.181	1463.267	1442.943	1444.369	1454.348	1466.307	1469.031	1466.887	1465.005	1463.558	1464.299	1465.782	1464.419	1468.369	2645.203	2652.099	2602.929	2566.113	2571.596	2627.423	2676.710	2691.791	2662.801	2637.485	2632.521	2613.685	2631.442	2657.841	2673.357	2685.570	2694.317	2694.354	2640.017	2641.939	2650.276	
taq_900_118_40_10_1.00_10.mat	"v"	62.000	262.000	1.817	1.817	1.817	1.828	1.867	1.805	1.815	1.909	1.936	1.864	1.870	1.895	1.909	1.873	1.768	1.733	1.743	1.747	1.462	1.462	1.462	26.984	26.984	26.984	24.666	25.103	25.495	25.737	25.965	26.271	27.954	30.313	30.811	29.801	28.323	26.883	26.064	25.695	25.851	26.105	26.105	26.105	21.059	21.059	21.059	20.541	22.525	23.532	24.247	25.154	24.968	24.022	23.199	22.152	20.674	19.063	17.378	16.443	16.705	17.640	18.163	18.163	18.163	26.991	26.991	26.991	24.161	25.950	25.818	25.868	26.457	26.769	26.954	26.990	25.274	23.576	25.758	29.624	31.126	31.271	30.022	25.415	25.415	25.415	132.569	118.458	119.708	121.857	123.667	125.422	127.169	128.913	130.670	132.423	134.253	136.793	139.533	140.899	141.816	142.699	143.599	142.719	135.711	132.899	132.899	110.977	120.063	121.497	122.677	124.175	125.978	127.734	129.470	131.243	133.004	134.928	137.405	139.638	141.043	141.995	142.892	143.530	65.116	0.000	0.000	38.993	131.909	118.151	119.524	121.092	122.347	123.675	125.402	127.192	128.978	130.702	132.451	134.330	136.621	139.025	140.690	141.719	142.621	143.464	143.327	143.327	143.327	823.191	759.388	780.292	800.064	813.692	819.817	822.842	824.600	826.219	827.014	828.759	827.610	822.957	824.948	828.789	832.375	836.085	839.158	851.916	843.086	855.905	1452.067	1625.042	1491.759	1451.493	1421.163	1399.429	1385.193	1384.230	1394.202	1408.718	1426.605	1447.153	1465.542	1468.968	1466.836	1465.043	1463.599	1464.257	1465.872	1464.334	1468.444	2644.288	2675.153	2645.122	2653.208	2649.713	2635.303	2618.912	2611.180	2609.288	2607.416	2605.678	2604.597	2631.557	2657.924	2673.092	2685.669	2694.608	2694.174	2640.113	2642.579	2650.007	
taq_900_118_50_10_1.00_10.mat	"v"	62.000	262.000	2.775	2.775	2.775	4.813	4.706	4.397	4.051	3.707	3.267	2.806	2.489	2.241	2.067	1.921	1.775	1.732	1.742	1.746	1.462	1.462	1.462	26.713	26.713	26.713	28.566	27.975	26.731	25.900	25.360	25.113	25.297	26.114	28.351	29.632	28.364	26.870	26.060	25.691	25.846	26.101	26.101	26.101	21.941	21.941	21.941	24.369	25.222	26.291	26.016	25.561	25.694	25.127	23.910	22.476	20.909	19.291	17.475	16.431	16.706	17.658	18.186	18.186	18.186	26.897	26.897	26.897	23.963	25.688	26.193	26.175	26.099	26.131	26.144	26.238	25.154	23.849	26.037	29.707	31.090	31.246	30.057	25.438	25.438	25.438	132.554	118.846	119.638	121.739	123.585	125.344	127.103	128.856	130.607	132.351	134.175	136.751	139.526	140.901	141.817	142.698	143.599	142.719	135.714	132.903	132.903	110.871	119.895	121.460	122.633	124.028	125.677	127.329	129.025	130.865	132.763	134.888	137.486	139.662	141.044	141.995	142.892	143.530	65.116	0.000	0.000	38.994	131.867	118.459	119.242	120.950	122.290	123.600	125.159	126.776	128.508	130.304	132.171	134.226	136.691	139.071	140.694	141.719	142.621	143.464	143.327	143.327	143.327	821.669	748.315	743.315	770.920	790.724	806.755	822.259	835.480	847.333	853.286	847.869	833.083	822.904	824.931	828.824	832.353	836.030	839.207	851.991	843.096	855.830	1473.140	1716.512	1496.861	1450.298	1429.467	1451.608	1475.929	1484.823	1466.544	1425.320	1416.605	1440.820	1464.600	1468.989	1466.852	1464.988	1463.556	1464.284	1465.851	1464.293	1467.913	2652.044	2766.299	2654.642	2628.748	2610.632	2641.701	2650.681	2630.882	2640.458	2633.485	2608.334	2601.736	2630.431	2657.899	2673.377	2685.746	2693.996	2693.836	2639.992	2642.140	2648.990	
taq_900_118_60_10_1.00_10.mat	"v"	62.000	262.000	3.904	3.904	3.904	8.185	8.015	7.414	6.619	5.745	4.823	3.919	3.175	2.606	2.234	1.974	1.785	1.734	1.743	1.747	1.462	1.462	1.462	27.870	27.870	27.870	29.893	30.749	30.027	28.768	28.565	28.684	27.492	26.453	27.677	28.984	28.294	26.862	26.066	25.699	25.854	26.106	26.106	26.106	21.724	21.724	21.724	25.411	26.030	25.793	25.661	25.403	24.786	24.560	23.503	21.102	19.879	19.264	17.518	16.472	16.733	17.670	18.189	18.189	18.189	26.342	26.342	26.342	22.663	24.462	24.835	25.037	25.077	25.151	25.407	25.326	24.820	24.441	26.267	29.562	30.950	31.079	29.982	25.463	25.463	25.463	132.510	119.354	119.328	121.580	123.373	125.144	126.934	128.697	130.520	132.316	134.100	136.713	139.531	140.904	141.812	142.699	143.600	142.717	135.710	132.898	132.898	110.745	119.559	120.947	122.078	123.503	125.407	127.436	129.088	130.660	132.466	134.815	137.547	139.679	141.046	141.994	142.892	143.529	65.115	0.000	0.000	38.993	131.616	117.889	118.911	120.469	121.731	123.030	124.764	126.758	128.646	130.189	131.867	134.049	136.746	139.106	140.698	141.718	142.621	143.464	143.325	143.325	143.325	813.041	768.030	766.195	772.086	754.922	740.917	763.145	794.402	825.293	848.313	855.591	836.647	822.874	824.811	828.769	832.414	836.122	839.120	851.995	843.045	856.099	1466.940	1681.347	1494.943	1447.139	1435.574	1453.434	1430.131	1420.097	1456.508	1457.862	1419.701	1434.791	1464.092	1469.135	1466.990	1465.046	1463.623	1464.255	1465.866	1464.420	1468.458	2649.766	2719.313	2643.393	2654.921	2630.876	2616.341	2627.022	2627.123	2647.336	2629.384	2624.937	2603.086	2629.766	2657.555	2673.132	2685.868	2694.385	2693.777	2640.174	2642.111	2650.282	
taq_900_118_70_10_1.00_10.mat	"v"	62.000	262.000	4.657	4.657	4.657	4.657	10.905	10.257	9.161	7.859	6.487	5.142	3.951	3.010	2.406	2.022	1.789	1.733	1.743	1.746	1.461	1.461	1.461	28.259	28.259	28.259	28.259	31.440	29.896	30.466	30.125	29.041	28.849	28.410	28.169	28.748	28.102	26.770	26.028	25.687	25.851	26.099	26.099	26.099	21.712	21.712	21.712	21.712	25.199	27.399	27.702	26.495	25.150	23.840	22.452	20.969	20.023	19.309	17.680	16.609	16.742	17.628	18.150	18.150	18.150	24.393	24.393	24.393	24.393	18.935	20.444	21.550	21.685	21.585	21.949	21.948	22.294	22.928	25.653	29.418	30.911	31.154	29.992	25.447	25.447	25.447	132.477	119.239	119.908	121.462	123.335	124.972	126.668	128.481	130.322	132.247	134.067	136.696	139.548	140.896	141.812	142.702	143.596	142.720	135.716	132.905	132.905	110.595	119.237	120.811	121.911	123.211	124.940	126.757	128.443	130.516	132.347	134.747	137.593	139.730	141.044	141.992	142.890	143.530	65.116	0.000	0.000	38.993	132.096	132.096	118.847	120.190	121.619	122.810	124.379	126.183	127.962	129.857	131.759	133.937	136.759	139.179	140.707	141.715	142.618	143.464	143.328	143.328	143.328	816.164	779.743	765.589	769.166	804.295	807.384	785.028	764.830	785.609	830.112	854.567	842.175	823.690	824.863	828.587	832.363	836.248	839.231	851.989	843.066	855.851	1470.318	1702.184	1541.106	1427.182	1417.382	1445.465	1470.256	1463.881	1437.812	1448.970	1418.249	1427.802	1462.301	1469.525	1466.811	1464.958	1463.686	1464.411	1465.859	1464.201	1467.867	2652.677	2759.573	2730.404	2614.424	2614.165	2587.120	2643.384	2641.745	2612.950	2648.802	2640.647	2605.578	2619.988	2657.107	2671.338	2685.628	2695.106	2694.477	2640.299	2641.981	2649.354	
