Filename	Label	seg_Start	seg_End	H1H2c_mean	H1H2c_means001	H1H2c_means002	H1H2c_means003	H1H2c_means004	H1H2c_means005	H1H2c_means006	H1H2c_means007	H1H2c_means008	H1H2c_means009	H1H2c_means010	H1H2c_means011	H1H2c_means012	H1H2c_means013	H1H2c_means014	H1H2c_means015	H1H2c_means016	H1H2c_means017	H1H2c_means018	H1H2c_means019	H1H2c_means020	H1A1c_mean	H1A1c_means001	H1A1c_means002	H1A1c_means003	H1A1c_means004	H1A1c_means005	H1A1c_means006	H1A1c_means007	H1A1c_means008	H1A1c_means009	H1A1c_means010	H1A1c_means011	H1A1c_means012	H1A1c_means013	H1A1c_means014	H1A1c_means015	H1A1c_means016	H1A1c_means017	H1A1c_means018	H1A1c_means019	H1A1c_means020	H1A3c_mean	H1A3c_means001	H1A3c_means002	H1A3c_means003	H1A3c_means004	H1A3c_means005	H1A3c_means006	H1A3c_means007	H1A3c_means008	H1A3c_means009	H1A3c_means010	H1A3c_means011	H1A3c_means012	H1A3c_means013	H1A3c_means014	H1A3c_means015	H1A3c_means016	H1A3c_means017	H1A3c_means018	H1A3c_means019	H1A3c_means020	CPP_mean	CPP_means001	CPP_means002	CPP_means003	CPP_means004	CPP_means005	CPP_means006	CPP_means007	CPP_means008	CPP_means009	CPP_means010	CPP_means011	CPP_means012	CPP_means013	CPP_means014	CPP_means015	CPP_means016	CPP_means017	CPP_means018	CPP_means019	CPP_means020	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF0_means011	pF0_means012	pF0_means013	pF0_means014	pF0_means015	pF0_means016	pF0_means017	pF0_means018	pF0_means019	pF0_means020	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF1_means011	pF1_means012	pF1_means013	pF1_means014	pF1_means015	pF1_means016	pF1_means017	pF1_means018	pF1_means019	pF1_means020	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF2_means011	pF2_means012	pF2_means013	pF2_means014	pF2_means015	pF2_means016	pF2_means017	pF2_means018	pF2_means019	pF2_means020	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	pF3_means011	pF3_means012	pF3_means013	pF3_means014	pF3_means015	pF3_means016	pF3_means017	pF3_means018	pF3_means019	pF3_means020	
tii_350_110_30_15_1_3.mat	"v"	87.000	487.000	1.929	1.929	-0.418	-0.367	-0.198	-0.029	0.117	0.306	0.622	1.125	1.894	2.828	2.993	2.935	3.158	3.550	3.809	3.701	3.457	3.318	3.347	16.318	16.318	8.856	8.014	7.956	8.353	9.048	10.055	11.341	15.569	22.630	23.660	23.303	18.775	15.016	15.855	18.149	21.716	26.438	23.430	20.310	7.209	7.209	9.909	10.125	9.247	7.088	5.522	4.800	4.701	4.412	2.983	2.673	5.891	6.827	7.409	7.812	7.906	8.990	10.068	11.055	10.247	29.752	29.752	30.122	30.657	31.047	31.455	31.509	31.638	31.754	31.841	32.245	31.425	28.676	28.093	28.394	28.075	27.760	27.480	27.606	28.445	27.241	115.652	107.317	112.308	113.346	114.840	116.347	117.746	119.286	120.791	122.314	123.826	124.568	122.963	120.530	118.010	115.558	112.986	110.460	108.165	106.003	103.827	337.582	329.229	340.056	337.246	337.144	337.514	337.160	334.500	328.948	319.696	308.246	305.393	314.840	321.586	322.766	322.624	329.929	349.899	374.316	395.176	404.225	2309.032	2081.072	2139.303	2194.825	2288.064	2343.873	2351.717	2349.869	2334.337	2332.568	2341.204	2342.209	2343.142	2350.544	2339.055	2339.616	2345.811	2334.286	2345.069	2343.879	2345.913	3218.291	2910.788	2985.032	3051.931	3150.531	3238.486	3259.420	3275.756	3297.854	3328.665	3347.232	3325.433	3295.502	3272.540	3252.883	3225.253	3235.470	3226.290	3235.022	3229.606	3230.530	
tii_350_110_40_15_1_3.mat	"v"	87.000	487.000	2.787	2.787	2.487	2.312	2.199	2.077	1.959	1.909	1.969	2.170	2.540	3.014	2.990	2.935	3.158	3.549	3.808	3.700	3.457	3.318	3.348	18.151	18.151	13.503	12.907	12.464	12.320	12.414	12.849	15.218	21.925	23.480	23.728	23.390	18.775	15.016	15.855	18.149	21.718	26.439	23.432	20.313	7.255	7.255	11.905	11.347	9.349	7.574	6.780	5.631	4.205	2.849	1.660	1.679	5.669	6.823	7.409	7.808	7.906	8.989	10.077	11.070	10.251	29.798	29.798	30.777	31.035	30.871	31.430	31.427	31.532	31.874	31.767	31.871	31.698	29.332	28.086	28.483	28.017	27.602	27.432	27.634	28.428	27.196	115.631	110.870	111.988	113.092	114.608	116.052	117.441	118.975	120.460	121.970	123.455	124.281	122.941	120.530	118.010	115.557	112.988	110.460	108.167	106.002	103.828	331.185	313.284	319.534	320.590	322.341	324.024	324.499	322.514	318.575	312.054	304.563	305.060	314.842	321.586	322.776	322.624	329.949	349.899	374.329	395.211	404.220	2309.190	2074.863	2137.820	2212.831	2290.723	2338.097	2346.677	2348.561	2339.264	2332.989	2337.807	2341.425	2343.082	2350.600	2339.075	2339.577	2345.780	2334.331	2345.023	2343.976	2347.038	3217.356	2909.518	2979.802	3065.783	3149.106	3220.373	3250.183	3275.431	3301.014	3328.282	3345.567	3326.150	3295.561	3272.483	3252.830	3224.895	3235.390	3226.269	3235.286	3230.074	3231.163	
tii_350_110_50_15_1_3.mat	"v"	87.000	487.000	3.743	3.743	4.835	4.866	4.872	4.697	4.359	3.978	3.639	3.388	3.243	3.207	2.985	2.933	3.158	3.550	3.809	3.701	3.457	3.319	3.351	22.125	22.125	25.358	23.601	21.561	22.045	23.837	25.557	25.005	24.016	23.329	23.588	23.477	18.774	15.016	15.856	18.150	21.716	26.439	23.432	20.311	7.999	7.999	14.602	13.838	11.741	9.409	7.723	6.224	5.387	4.596	2.708	1.547	5.431	6.833	7.396	7.807	7.911	9.003	10.075	11.059	10.251	29.906	29.906	29.868	31.056	31.116	31.547	31.586	31.632	31.863	31.690	32.092	33.226	29.628	28.054	28.402	28.057	27.727	27.504	27.579	28.400	27.290	115.595	114.418	111.635	112.786	114.293	115.705	117.114	118.628	120.100	121.602	123.093	124.005	122.910	120.530	118.009	115.558	112.990	110.458	108.165	106.002	103.827	326.416	318.599	322.877	312.110	306.104	305.039	305.896	306.124	305.764	303.518	300.770	304.732	314.852	321.589	322.764	322.642	329.925	349.887	374.313	395.187	404.241	2309.105	2067.464	2143.088	2221.892	2292.860	2336.426	2337.891	2340.981	2342.422	2339.393	2339.023	2340.108	2343.127	2350.769	2339.058	2339.553	2345.750	2334.425	2344.958	2343.756	2345.356	3217.628	2900.949	2984.749	3072.326	3161.600	3227.840	3246.417	3276.957	3304.254	3319.882	3339.087	3325.907	3295.503	3273.302	3252.883	3225.191	3235.321	3226.470	3234.890	3229.227	3228.394	
tii_350_110_60_15_1_3.mat	"v"	87.000	487.000	4.748	4.748	7.870	7.566	7.194	7.080	6.978	6.507	5.690	4.804	4.001	3.404	2.981	2.935	3.159	3.550	3.809	3.701	3.457	3.318	3.350	22.666	22.666	24.653	24.612	25.875	27.767	26.587	25.025	24.234	23.672	22.561	23.050	23.573	18.832	15.020	15.854	18.148	21.717	26.439	23.431	20.312	8.155	8.155	16.060	16.193	13.337	9.564	7.348	6.575	5.448	3.442	2.701	1.866	5.131	6.786	7.405	7.828	7.916	8.998	10.079	11.059	10.251	29.827	29.827	30.212	30.915	30.954	31.388	31.622	31.484	31.385	31.487	31.620	32.958	29.748	28.043	28.462	28.090	27.776	27.462	27.656	28.484	27.213	115.303	110.753	111.208	112.412	113.926	115.344	116.730	118.263	119.724	121.240	122.710	123.733	122.875	120.530	118.010	115.559	112.985	110.461	108.166	106.002	103.827	323.256	316.082	330.154	319.537	307.228	294.025	287.088	287.117	291.131	294.331	296.862	304.425	314.845	321.566	322.770	322.614	329.908	349.902	374.332	395.208	404.238	2308.970	2082.453	2138.408	2213.836	2288.737	2336.207	2338.240	2351.413	2337.271	2333.056	2339.247	2338.523	2343.112	2350.517	2338.858	2339.606	2345.748	2334.376	2345.112	2344.063	2346.174	3217.426	2915.046	2978.543	3064.061	3156.388	3236.766	3254.619	3280.012	3289.050	3317.117	3336.817	3325.030	3297.173	3273.285	3253.096	3224.802	3235.309	3226.332	3235.007	3229.517	3228.351	
tii_350_110_70_15_1_3.mat	"v"	87.000	487.000	5.770	5.770	12.885	11.719	10.100	8.835	8.188	8.133	7.533	6.265	4.754	3.586	2.963	2.929	3.156	3.549	3.808	3.700	3.457	3.318	3.349	19.882	19.882	19.381	19.387	19.752	21.066	25.771	22.678	14.902	13.980	16.292	21.060	23.615	18.836	15.008	15.847	18.146	21.718	26.435	23.426	20.310	8.068	8.068	15.473	15.317	13.496	11.704	8.205	5.931	4.485	3.673	1.922	1.522	4.581	6.522	7.297	7.760	7.901	8.962	10.055	11.059	10.259	28.260	28.260	25.143	27.090	27.968	28.086	28.536	29.268	29.446	29.423	29.730	29.794	28.837	28.004	28.135	27.975	27.679	27.481	27.625	28.384	27.242	115.084	109.928	110.769	112.047	113.520	114.927	116.368	117.895	119.324	120.860	122.332	123.456	122.822	120.538	118.013	115.558	112.988	110.457	108.167	106.002	103.827	322.938	311.128	325.265	322.259	320.077	310.371	292.241	278.638	278.850	285.431	293.257	304.192	314.942	321.576	322.775	322.600	329.961	349.862	374.325	395.213	404.235	2308.275	2074.609	2140.542	2213.402	2285.512	2329.109	2341.504	2346.619	2342.075	2332.243	2341.670	2335.981	2343.485	2350.338	2338.696	2339.580	2345.819	2334.193	2344.904	2344.040	2345.728	3218.598	2876.356	3008.754	3074.657	3169.405	3227.931	3274.974	3285.133	3296.850	3325.479	3325.664	3317.108	3294.676	3271.238	3253.986	3225.239	3235.638	3226.042	3235.069	3229.532	3229.460	
tii_350_118_30_15_1_3.mat	"v"	87.000	487.000	1.872	1.872	-0.681	-0.644	-0.455	-0.274	-0.055	0.253	0.665	1.246	2.026	2.887	2.999	2.936	3.159	3.551	3.808	3.700	3.447	3.296	3.292	16.570	16.570	8.214	7.643	7.972	8.733	9.682	10.748	12.340	18.419	23.164	23.460	23.377	18.784	15.034	15.857	18.149	21.719	26.350	23.480	20.343	6.462	6.462	10.319	8.153	5.693	4.931	4.100	3.176	3.122	2.947	2.046	3.022	6.006	6.978	7.401	7.735	7.852	8.878	9.992	10.953	10.239	30.896	30.896	31.448	33.517	33.886	33.923	33.915	34.000	33.938	33.947	34.206	32.414	28.537	28.349	28.456	27.750	27.829	27.604	27.773	28.213	27.549	117.611	114.410	118.749	119.309	120.069	120.843	121.570	122.319	123.095	123.847	124.602	124.758	122.950	120.546	118.037	115.520	112.991	110.456	108.126	105.963	103.820	340.766	340.584	352.061	350.146	348.765	346.479	342.820	337.131	329.012	319.060	307.771	305.404	314.744	321.655	322.877	322.397	329.841	350.113	374.415	394.570	404.089	2310.162	2081.145	2152.140	2210.208	2278.672	2338.119	2346.937	2341.856	2341.595	2344.834	2344.793	2342.052	2343.298	2350.634	2338.529	2339.661	2346.068	2334.477	2345.254	2344.392	2344.522	3218.165	2888.079	2981.430	3076.192	3148.929	3226.528	3268.112	3284.785	3301.054	3327.239	3346.464	3324.583	3294.834	3272.765	3252.918	3225.098	3234.984	3226.163	3234.189	3229.795	3227.815	
tii_350_118_40_15_1_3.mat	"v"	87.000	487.000	2.764	2.764	2.278	2.049	1.959	1.903	1.893	1.956	2.104	2.340	2.690	3.076	2.991	2.934	3.159	3.551	3.808	3.701	3.447	3.297	3.294	18.577	18.577	12.999	12.595	12.449	12.607	12.994	14.570	19.894	23.932	23.241	23.536	23.496	18.801	15.034	15.857	18.148	21.717	26.350	23.481	20.341	6.501	6.501	11.018	10.298	8.479	5.835	4.017	3.037	2.219	1.256	0.558	1.839	5.727	6.980	7.422	7.759	7.859	8.878	10.002	10.969	10.247	31.063	31.063	32.468	33.645	34.243	34.254	34.439	34.264	34.149	34.310	34.204	32.141	29.033	28.333	28.393	27.821	27.827	27.674	27.747	28.203	27.429	117.588	117.879	118.495	119.037	119.772	120.527	121.229	121.970	122.741	123.478	124.226	124.468	122.930	120.546	118.038	115.519	112.990	110.458	108.126	105.963	103.820	334.007	324.151	332.007	333.211	332.985	331.167	328.285	323.777	317.942	311.259	304.078	305.080	314.753	321.649	322.877	322.401	329.827	350.100	374.392	394.567	404.167	2308.031	2091.298	2138.309	2204.186	2282.652	2335.226	2337.963	2334.001	2334.950	2337.846	2339.861	2341.827	2343.227	2350.845	2338.586	2339.625	2346.186	2334.488	2345.435	2343.988	2345.296	3220.456	2901.513	2974.554	3063.278	3162.835	3237.652	3266.775	3289.267	3312.681	3336.724	3347.989	3325.718	3294.762	3272.949	3252.920	3225.030	3235.257	3226.470	3234.380	3229.611	3227.258	
tii_350_118_50_15_1_3.mat	"v"	87.000	487.000	3.916	3.916	5.573	5.586	5.344	4.992	4.595	4.218	3.899	3.612	3.400	3.271	2.991	2.935	3.159	3.551	3.808	3.701	3.448	3.296	3.293	22.846	22.846	25.405	26.947	27.177	26.265	25.618	25.072	24.447	23.865	23.142	23.274	23.553	18.841	15.038	15.859	18.149	21.719	26.332	23.449	20.341	6.575	6.575	11.207	10.208	7.640	5.686	4.129	3.057	3.037	2.618	1.264	1.451	5.468	6.986	7.411	7.748	7.857	8.888	9.996	10.948	10.224	31.284	31.284	32.450	34.141	34.280	34.500	34.472	34.693	34.311	34.712	34.700	33.821	29.355	28.314	28.387	27.830	27.927	27.660	27.643	28.242	27.323	117.515	120.404	118.183	118.718	119.448	120.186	120.864	121.604	122.367	123.100	123.851	124.186	122.901	120.545	118.038	115.519	112.991	110.457	108.124	105.963	103.821	325.779	320.414	312.223	307.817	306.845	306.519	306.725	306.008	304.675	302.743	300.322	304.762	314.746	321.644	322.873	322.399	329.839	350.102	374.415	394.549	404.109	2307.101	2080.967	2134.548	2209.148	2279.988	2331.507	2331.180	2332.681	2337.718	2342.027	2340.747	2340.958	2343.093	2350.540	2338.639	2339.522	2346.161	2334.543	2345.387	2343.888	2344.229	3215.969	2890.808	2972.899	3061.318	3148.439	3222.405	3259.510	3287.017	3300.595	3321.615	3340.030	3325.880	3294.664	3272.345	3252.820	3225.090	3235.452	3226.281	3234.322	3229.427	3227.194	
tii_350_118_60_15_1_3.mat	"v"	87.000	487.000	4.985	4.985	8.388	8.087	7.911	7.907	7.694	7.001	6.064	5.069	4.170	3.469	2.987	2.934	3.159	3.550	3.808	3.701	3.447	3.296	3.293	21.084	21.084	22.863	23.911	28.302	26.860	20.429	17.179	17.413	18.854	19.768	22.200	23.689	18.862	15.038	15.861	18.151	21.717	26.349	23.479	20.338	6.795	6.795	13.574	12.629	9.797	6.734	4.227	3.011	2.677	1.565	1.130	1.379	5.147	6.932	7.372	7.719	7.841	8.863	9.981	10.933	10.224	30.997	30.997	32.999	33.694	33.640	33.897	33.885	34.000	33.629	33.538	33.646	33.876	29.595	28.387	28.303	27.740	27.909	27.648	27.732	28.287	27.416	117.201	117.396	117.754	118.335	119.060	119.793	120.478	121.225	121.987	122.726	123.473	123.905	122.870	120.548	118.036	115.521	112.990	110.457	108.125	105.964	103.819	321.851	317.446	324.241	313.871	300.122	288.787	284.795	286.383	290.154	293.670	296.453	304.427	314.769	321.638	322.895	322.419	329.832	350.088	374.403	394.561	404.131	2308.305	2083.867	2139.566	2217.065	2280.199	2331.778	2338.366	2340.754	2330.654	2337.842	2343.866	2340.579	2343.184	2350.593	2338.516	2339.706	2346.099	2334.327	2345.317	2344.258	2344.526	3217.193	2909.512	2978.096	3069.292	3154.627	3224.807	3258.341	3276.083	3296.202	3325.533	3336.652	3323.699	3294.058	3272.635	3253.263	3225.414	3235.310	3226.204	3234.300	3230.095	3227.113	
tii_350_118_70_15_1_3.mat	"v"	87.000	487.000	5.881	5.881	12.862	11.506	10.044	8.995	8.645	8.566	8.007	6.556	4.935	3.656	2.978	2.928	3.158	3.551	3.810	3.701	3.447	3.297	3.293	19.429	19.429	18.806	18.995	19.480	23.021	27.682	18.836	12.022	11.944	14.486	20.297	23.718	18.797	15.027	15.852	18.141	21.714	26.352	23.482	20.341	7.281	7.281	14.881	14.203	11.533	9.850	6.965	3.960	2.081	1.264	0.359	1.180	4.728	6.758	7.391	7.774	7.863	8.896	10.000	10.957	10.254	28.933	28.933	27.118	28.159	29.135	29.037	29.280	30.217	30.780	31.011	31.073	30.959	29.201	28.342	28.335	27.741	27.851	27.578	27.723	28.224	27.456	116.975	116.150	117.465	117.986	118.678	119.403	120.082	120.852	121.597	122.332	123.082	123.643	122.833	120.554	118.040	115.515	112.993	110.458	108.122	105.964	103.821	324.485	324.290	332.694	331.760	323.884	310.644	291.965	278.321	277.465	284.870	292.820	304.186	314.817	321.682	322.881	322.368	329.788	350.108	374.400	394.570	404.091	2310.563	2093.426	2146.833	2227.108	2288.907	2333.973	2347.987	2329.232	2333.128	2336.112	2351.293	2345.152	2340.230	2350.920	2339.150	2339.443	2345.942	2334.279	2345.311	2343.969	2343.865	3218.697	2917.046	3004.979	3068.372	3166.920	3220.040	3257.973	3259.036	3302.212	3339.826	3326.348	3334.971	3291.608	3268.648	3251.783	3224.106	3234.379	3226.353	3234.363	3229.637	3226.262	
