"sp","age","gender","yearsaway","experiencePC","TLE","away"
1,31,"f",7,-1.035475727,0.299873751698433,0.262577848110395
2,34,"m",0,-0.778627982,0.225490649415495,-0.599356300593205
3,50,"m",0,0.120937116,-0.0350233866127172,-0.599356300593205
4,27,"m",3,-0.102008214,0.0295415769025099,-0.0350879462358379
5,22,"f",0,-2.151173105,0.622979692085723,-0.599356300593205
6,54,"f",9,2.619695077,-0.758663646695081,0.377985158257034
7,52,"f",5,-0.60208963,0.174365145885467,0.129111012479444
10,22,"m",4,-0.13818759,0.0400191235344294,0.0522046719736211
11,59,"f",0,0.967231214,-0.280110142009307,-0.599356300593205
12,53,"f",23,1.615307465,-0.467793012517966,0.963032025204934
13,24,"f",4,-2.95647965,0.856196452878598,0.0522046719736211
14,20,"m",0.5,-0.800939704,0.231952123701106,-0.368994709563952
15,50,"f",0,1.700861715,-0.492569521762733,-0.599356300593205
17,26,"f",6,-2.022040155,0.585582792113144,0.198639658956931
18,28,"m",7,-1.865242765,0.540174270819458,0.262577848110395
19,50,"f",0,2.597794597,-0.752321268085195,-0.599356300593205
20,61,"f",2,0.143984047,-0.0416977774113626,-0.1386331185347
21,57,"m",0,1.433381357,-0.415107214948278,-0.599356300593205
22,56,"m",6,2.88697463,-0.836067800385186,0.198639658956931
23,22,"m",3,-2.486760033,0.720165660334114,-0.0350879462358379
24,55,"f",0,2.010503203,-0.582241691058769,-0.599356300593205
27,60,"m",0,1.438537337,-0.416600386662551,-0.599356300593205
28,54,"f",0,-0.011325757,0.00327993900376519,-0.599356300593205
30,21,"m",2,-0.329151709,0.0953223289254215,-0.1386331185347
31,38,"m",2,-0.793017567,0.229657872969917,-0.1386331185347
32,31,"m",5,0.242906824,-0.0703458118323121,0.129111012479444
33,22,"m",7,-2.327329769,0.673994658777889,0.262577848110395
34,39,"f",0,-0.948046415,0.274554224532552,-0.599356300593205
35,39,"m",8,-0.940795139,0.272454255134768,0.322090063523804
36,37,"f",0,-2.281709536,0.660783040130389,-0.599356300593205
37,50,"f",0,2.207906426,-0.639409660851109,-0.599356300593205
38,38,"f",10,1.027266118,-0.297496249116373,0.430852053299623
39,63,"f",0,1.134536371,-0.32856171243518,-0.599356300593205
40,35,"m",8,-1.544959574,0.44742026452807,0.322090063523804
41,25,"f",3,-2.201149239,0.63745277958364,-0.0350879462358379
42,61,"f",0,-0.629029401,0.182166903077347,-0.599356300593205
43,67,"m",2,0.822332764,-0.238147553523319,-0.1386331185347
44,55,"f",10,0.563454486,-0.163176408920492,0.430852053299623
45,66,"m",0,0.829140074,-0.240118950375573,-0.599356300593205
46,37,"f",19,-2.988759906,0.865544814429397,0.820687916893731
49,54,"m",5,0.804520754,-0.232989195751111,0.129111012479444
50,24,"m",4,-0.117192588,0.0339389713368834,0.0522046719736211
51,54,"m",3,1.269619507,-0.367681786165194,-0.0350879462358379
52,30,"f",8,-1.315170188,0.380873262519656,0.322090063523804
53,63,"f",0,0.801318563,-0.232061841295722,-0.599356300593205
54,62,"f",10,0.374405446,-0.108427810373087,0.430852053299623
55,23,"f",4,-1.916215416,0.55493594962246,0.0522046719736211
56,32,"f",9,-1.842486082,0.533583935836336,0.377985158257034
57,65,"f",5,0.349245103,-0.10114137549766,0.129111012479444
58,64,"f",0,0.33029454,-0.0956532927973497,-0.599356300593205
59,52,"m",9,-1.643714274,0.476019623852875,0.377985158257034
60,66,"m",5,2.314014016,-0.670138416986251,0.129111012479444
61,28,"f",4,-0.087969604,0.0254759957017084,0.0522046719736211
62,28,"f",7,-0.583175599,0.168887642851692,0.262577848110395
64,61,"m",2,3.255994718,-0.942936011161819,-0.1386331185347
65,61,"m",10,3.804538854,-1.1017943829758,0.430852053299623
66,61,"f",0,2.654333325,-0.768694882686215,-0.599356300593205
67,54,"m",0,1.343513208,-0.389081400631531,-0.599356300593205
68,33,"f",15,-2.09489495,0.606681539420765,0.662386097301807
69,64,"m",47,2.556847949,-0.740463119568736,1.63408218891656
70,64,"m",31,0.426713662,-0.123576268775812,1.21451268104102
71,35,"m",11,-0.150462109,0.0435738240136992,0.4811353364284
72,33,"m",10,-1.560222231,0.45184032971782,0.430852053299623
73,29,"f",10,-1.497276064,0.433611120898876,0.430852053299623
74,64,"m",4,1.932163341,-0.559554468447657,0.0522046719736211
75,33,"m",8,-3.837196139,1.11125193208305,0.322090063523804
